dat,price
09/11/2019 00:00,9.87
09/11/2019 00:30,10.08
09/11/2019 01:00,8.82
09/11/2019 01:30,8.82
09/11/2019 02:00,9.66
09/11/2019 02:30,8.064
09/11/2019 03:00,8.4
09/11/2019 03:30,6.93
09/11/2019 04:00,7.77
09/11/2019 04:30,7.14
09/11/2019 05:00,7.476
09/11/2019 05:30,7.056
09/11/2019 06:00,8.19
09/11/2019 06:30,7.308
09/11/2019 07:00,7.875
09/11/2019 07:30,8.568
09/11/2019 08:00,8.148
09/11/2019 08:30,8.547
09/11/2019 09:00,9.513
09/11/2019 09:30,9.576
09/11/2019 10:00,10.29
09/11/2019 10:30,9.66
09/11/2019 11:00,9.87
09/11/2019 11:30,9.66
09/11/2019 12:00,10.5
09/11/2019 12:30,9.87
09/11/2019 13:00,10.689
09/11/2019 13:30,11.172
09/11/2019 14:00,11.34
09/11/2019 14:30,11.34
09/11/2019 15:00,8.82
09/11/2019 15:30,9.03
09/11/2019 16:00,23.94
09/11/2019 16:30,26.88
09/11/2019 17:00,30.45
09/11/2019 17:30,31.08
09/11/2019 18:00,28.812
09/11/2019 18:30,26.25
09/11/2019 19:00,12.285
09/11/2019 19:30,10.29
09/11/2019 20:00,9.24
09/11/2019 20:30,9.513
09/11/2019 21:00,9.555
09/11/2019 21:30,9.24
09/11/2019 22:00,9.66
09/11/2019 22:30,8.82
09/11/2019 23:00,10.5
09/11/2019 23:30,9.24
10/11/2019 00:00,10.164
10/11/2019 00:30,11.088
10/11/2019 01:00,10.206
10/11/2019 01:30,9.408
10/11/2019 02:00,9.996
10/11/2019 02:30,9.24
10/11/2019 03:00,9.66
10/11/2019 03:30,7.98
10/11/2019 04:00,7.98
10/11/2019 04:30,7.56
10/11/2019 05:00,7.98
10/11/2019 05:30,7.77
10/11/2019 06:00,7.56
10/11/2019 06:30,6.72
10/11/2019 07:00,7.56
10/11/2019 07:30,9.114
10/11/2019 08:00,7.749
10/11/2019 08:30,8.589
10/11/2019 09:00,9.765
10/11/2019 09:30,11.13
10/11/2019 10:00,11.298
10/11/2019 10:30,11.13
10/11/2019 11:00,9.219
10/11/2019 11:30,9.219
10/11/2019 12:00,10.836
10/11/2019 12:30,10.71
10/11/2019 13:00,11.13
10/11/2019 13:30,10.08
10/11/2019 14:00,10.92
10/11/2019 14:30,11.55
10/11/2019 15:00,8.4
10/11/2019 15:30,10.92
10/11/2019 16:00,24.15
10/11/2019 16:30,28.14
10/11/2019 17:00,31.29
10/11/2019 17:30,31.71
10/11/2019 18:00,27.93
10/11/2019 18:30,24.591
10/11/2019 19:00,11.739
10/11/2019 19:30,9.87
10/11/2019 20:00,8.61
10/11/2019 20:30,9.03
10/11/2019 21:00,10.08
10/11/2019 21:30,9.177
10/11/2019 22:00,10.08
10/11/2019 22:30,9.03
10/11/2019 23:00,7.14
10/11/2019 23:30,6.72
11/11/2019 00:00,6.72
11/11/2019 00:30,6.72
11/11/2019 01:00,6.72
11/11/2019 01:30,6.216
11/11/2019 02:00,6.3
11/11/2019 02:30,5.25
11/11/2019 03:00,6.615
11/11/2019 03:30,5.103
11/11/2019 04:00,6.279
11/11/2019 04:30,5.88
11/11/2019 05:00,6.72
11/11/2019 05:30,7.119
11/11/2019 06:00,7.98
11/11/2019 06:30,8.064
11/11/2019 07:00,8.82
11/11/2019 07:30,10.5
11/11/2019 08:00,9.387
11/11/2019 08:30,10.122
11/11/2019 09:00,10.5
11/11/2019 09:30,10.08
11/11/2019 10:00,9.492
11/11/2019 10:30,8.484
11/11/2019 11:00,9.156
11/11/2019 11:30,8.61
11/11/2019 12:00,8.4
11/11/2019 12:30,8.4
11/11/2019 13:00,8.001
11/11/2019 13:30,8.19
11/11/2019 14:00,8.211
11/11/2019 14:30,8.337
11/11/2019 15:00,7.56
11/11/2019 15:30,8.61
11/11/2019 16:00,21.84
11/11/2019 16:30,25.62
11/11/2019 17:00,26.67
11/11/2019 17:30,26.796
11/11/2019 18:00,24.927
11/11/2019 18:30,23.31
11/11/2019 19:00,11.172
11/11/2019 19:30,10.416
11/11/2019 20:00,9.45
11/11/2019 20:30,8.988
11/11/2019 21:00,10.08
11/11/2019 21:30,8.4
11/11/2019 22:00,8.484
11/11/2019 22:30,7.56
11/11/2019 23:00,7.14
11/11/2019 23:30,6.72
12/11/2019 00:00,6.069
12/11/2019 00:30,6.93
12/11/2019 01:00,6.3
12/11/2019 01:30,5.88
12/11/2019 02:00,5.88
12/11/2019 02:30,5.46
12/11/2019 03:00,7.14
12/11/2019 03:30,5.88
12/11/2019 04:00,6.72
12/11/2019 04:30,6.3
12/11/2019 05:00,6.93
12/11/2019 05:30,7.56
12/11/2019 06:00,9.45
12/11/2019 06:30,8.82
12/11/2019 07:00,9.24
12/11/2019 07:30,11.13
12/11/2019 08:00,10.542
12/11/2019 08:30,10.5
12/11/2019 09:00,10.29
12/11/2019 09:30,9.3555
12/11/2019 10:00,9.933
12/11/2019 10:30,9.303
12/11/2019 11:00,9.03
12/11/2019 11:30,9.03
12/11/2019 12:00,9.24
12/11/2019 12:30,9.219
12/11/2019 13:00,9.66
12/11/2019 13:30,9.45
12/11/2019 14:00,9.912
